Username,Location,Date,Content,Rating,Title,Experience_date
Fausto Scasso,IT,5 ore fa,"Mediamente mi sono sempre trovato bene con Sorgenia e dopo 6 mesi sono ritornato per una delle utenze.
Unica pecca, che è poi stato il motivo per cui ero andato via, dopo i 12 mesi di prezzo bloccato, non segnalano in alcun modo il passaggio all'indicizzato e la tariffa di allora era salita vistosamente.
Consiglio di non dare per scontato l'avviso del gestore, come feci io e di segnarvi un appunto in agenda, ma sicuramente vale anche per gli altri fornitori.",5,Mediamente mi sono sempre trovato bene…,03 gennaio 2025
maurizio valente,IT,6 ore fa,"Non parliamo di esperienza fantastica ma di professionalità e competenza.
Non sono ancora Vs. cliente perchè stiamo parlamdo di preventivi ma i presupposti sono buoni. Mi sono avvicinato a Sorgenia perchè apprezzo il fatto che l'energia venga prodotta da fonti rinnovabili.",5,Primo contatto,03 gennaio 2025
Goffredo Marini,IT,4 ore fa,"Effettivamente è stato molto facile e semplice la conclusione della stipula del contratto.
L'operatore si è dimostrato competente e chiaro nella esposizione delle condizioni del contratto e tutto si è risolto facilmente in breve tempo.",5,Contratto online,03 gennaio 2025
Bruna Rotunno,IT,3 giorni fa,Ho scelto di passare a Sorgenia per vari motivi e oggi ho effettuato il cambio dal vecchio gestore.Ovviamente non potrò dare una valutzione precisa prima di aver verificato le prime bollette ...! ma nel frattempo posso dire che la procedura nel passaggio è stata estrememente semplice grazie all'operatrice Rossana che ringrazio per cortesia e professionalità.,5,Chiarezza e Professionalita dell'operatrice Sorgenia,31 dicembre 2024
Massimiliano Li Sacchi,IT,6 ore fa,"L’operatore Matteo è stato molto chiaro e preciso nella spiegazione di ogni singolo dettaglio. Mi sono trovato benissimo, complimenti per l’educazione e la professionalità.",5,Attivazione luce e gas,03 gennaio 2025
Katia,IT,4 giorni fa,"Ho avuto modo di parlare con l'operatrice Stefania, persona cordiale e competente.
Ho apprezzato la chiarezza nell'illustrarmi le soluzioni più adatte alle mie necessità.
Si è dimostrata molto disponibile e ha seguito passo passo tutto il processo di attivazione del servizio.
grazie mille Stefania",5,ottima esperienza,31 dicembre 2024
Luigi Pelati,IT,12 ore fa,Ho trovato le condizioni proposte come le migliori sul mercato. Personale molto cortese e disponibile e facilità nel fare il contratto on line.,5,Condizioni e cortesia,03 gennaio 2025
Vincenzo Papa,IT,Un giorno fa,"l'operatrice che ha risposto, oltre a esporre le tariffe e un confronto con l'attuale fornitore luce, mi ha guidato passo passo alla registrazione. il tutto svolto tranquillamente in 15/20min di chiamata",5,Semplicità e velocità,02 gennaio 2025
Pamela,IT,9 ore fa,"Sono passata a Sorgenia per luce e gas su entrambe le abitazioni di proprietà. Ho trovato il costo di luce e gas concorrenziali, ma non ho ancora ricevuto bollette. Il servizio clienti è efficiente, chiaro e disponibile sempre.",5,Sono passata a Sorgenia per luce e gas…,03 gennaio 2025
Valentina,IT,9 ore fa,"Gentilezza, pazienza e disponibilità, grazie a Piero e anche alla collega Maria Grazia, sono stati davvero molto disponibili e accurati nelle informazioni. Risposta velocissima appena dopo aver compost il numero. Consigliato.",5,Ottimo servizio clienti,03 gennaio 2025
Tiziano Ronchin,IT,Un giorno fa,La mia esperienza non è ancora cominciata perché il contratto di luce e gas lo ho stipulato oggi in seguito guardiamo come va diciamo che le operatrici meritano il massimo per la cortesia,5,La mia esperienza non è ancora…,02 gennaio 2025
Riccardo Botteri,IT,5 giorni fa,"Abbiamo deciso, a seguito di necessaria valutazione, di affidarci a Sorgenia per le forniture di Luce e Gas e la procedura è stata rapida e lineare, grazie anche alla cortesia e chiarezza di Elena, l'operatrice che ci ha guidato. Speriamo che il proseguimento sia lineare come questo inizio.",5,Un buon inizio,30 dicembre 2024
Lorenzo La Malfa,IT,5 giorni fa,"Questa mattina aspettavo il tecnico di @NomeAzienda per l'installazione della linea internet, fissata per le 8:30. Nessuno si è presentato. Ho contattato il servizio clienti, mi è stato promesso un intervento alle 11:45, ma di nuovo nessuno si è fatto vivo. La gentilissima operatrice ha segnalato il problema, ma non è stata in grado di darmi una soluzione concreta. Questo è il trattamento per un nuovo cliente? Mi sento abbandonato a me stesso. #Disservizio #ClienteInsoddisfatto",1,Servizio clienti e attivazione Internet,27 dicembre 2024
Andrea,IT,Un giorno fa,"CAMBIO GESTORE VELOCE
In pochissimi steps ho iniziato il nuovo anno cambiando il mio gestore per l'elettricità.",5,CAMBIO GESTORE VELOCE,02 gennaio 2025
Valentino Casara,IT,Un giorno fa,"Cambio fornitore veloce ed esaustivo, Francesca é stata professionale e ci ha aiutati a fare il cambio",5,Operatore professionale,02 gennaio 2025
Anna Mirella Russo,IT,28 dic 2024,"Avevo necessità non solo di cambiare fornitore di energia elettrica, ma anche di fare una voltura mortis causa del contratto richiedendo bolletta online e addebito in conto. Ho fatto tutto in tempo reale in pochi minuti mentre una operatrice telefonica gentile e preparata mi indicava come procedere.",5,Rapidi ed efficienti,27 dicembre 2024
Giorgio De Pasquale,IT,3 giorni fa,"Procedura di sottoscrizione utenze, luce gas e fibra, veloce e chiara.
L'operatrice Maria è stata gentilissima e chiara nella procedura di attivazione.
Consiglio",5,Procedura di sottoscrizione utenze,31 dicembre 2024
PAOLA Boschi,IT,13 ore fa,Grande Fabrizio ! Assistente perfetto ! Mi ha guidato passo passo con tanta pazienza e gentilezza …Grazie,5,Grande Fabrizio,03 gennaio 2025
Giuseppe Storelli,IT,4 giorni fa,"Operatrice Chiara bravissima, gentile, competente e professionale. Ha fugato i miei dubbi, mi ha dato i consigli giusti e assolutamente in linea con le mie esigenze. 10!",5,Operatrice Chiara bravissima,30 dicembre 2024
Roberto Fratta,IT,4 giorni fa,"Ho trovato delle condizioni migliori del fornitore precedente. Spero che anche il servizio sia all'altezza, ma stiamo partendo ora.",5,Un prezzo più conveniente rispetto alla precedente azienda. Spero in un servizio di qualità.,30 dicembre 2024
Felice Lops,IT,11 ore fa,"Gentilissimo e rapidissimo l’operatore Fausto. Tutto chiaro, sorgenia sempre una garanzia",5,Gentilissimo e rapidissimo l’operatore…,03 gennaio 2025
Maurizio Puerari,IT,6 giorni fa,"Sono tornato a Sorgenia,ho parlato con l'operatrice che è stata molto professionale ed esaustiva. Mi ha guidato passo passo nella compilazione del contratto.Sono molto soddisfatto.",5,"Sono tornato a Sorgenia,ho parlato con…",28 dicembre 2024
christopher,IT,27 dic 2024,"Esperienza pessima!
Per l'esattezza un agonia, dopo un mese che ho richiesto una voltura nessuno si è fatto vivo nonostante i miei continui solleciti inoltre è stato detto al vecchio proprietario che non c'era nessuna domanda di voltura e hanno chiuso le utenze.
Ricontatto e manualmente con un'operatore riattivo le utenze... vengo ricontattato perché secondo loro il mio indirizzo non esiste... follia.
Tutto è cominciato il 25 novembre oggi siamo al 27 dicembre e sono ancora senza utenze e nessuno sa darmi una certezza.",1,Esperienza pessima,27 dicembre 2024
Mauro Bianchi,IT,4 giorni fa,"Ancora non sono in grado di esprimere un giudizio, l'approccio e la filosofia aziendale di Sorgenia mi sembrano molto interessanti. Valuterò più approfonditamente quando riceverò il servizio.",5,Appena sottoscritto il servizio,30 dicembre 2024
BRUNO,IT,Un giorno fa,"Veloce e chiara, ottimo servizio. Da monitorare e vedere e nel proseguio si mantengono i livelli di servizio.",5,Veloce e chiara,02 gennaio 2025
Pasquale Federico,IT,4 giorni fa,"Fantastico servizio clienti, Elena (l'operatrice in questione) è stata favolosa.
Darvi cinque stelle sarebbe comunque poco",5,Fantastico servizio clienti,31 dicembre 2024
Erica Scannicchio,IT,24 dic 2024,"Ho attivato oggi il contratto con sorgenia. Agnese è stata molto cordiale e chiara nel rispondere a tutte le mie domande, anche se i costi sono un po' cari rispetto la media. Ancora presto per dire come mi trovo con questo fornitore, mi riservo di aggiornare la recensione tra qualche mese dopo il rodaggio. Spero vada tutto bene e di poter continuare a confermare la mia attuale valutazione.",5,Per ora tutto ok,24 dicembre 2024
